ISBN;Bname;Bnumber;BID
0000637472;曼昆版《宏观经济学》(第六版)学习手册;3;272
0000637472;曼昆版《宏观经济学》(第六版)学习手册;3;273
0000825034;西方世界的兴起;2;274
0000825034;西方世界的兴起;2;275
0000800377;经济数学,概率论与数理统计.第3版;2;276
0000800377;经济数学,概率论与数理统计.第3版;2;277
0000777947;碎片化时代:重新定义互联网+商业新常态;2;278
0000777947;碎片化时代:重新定义互联网+商业新常态;2;279
0000799944;生产与运作管理.第5版;2;280
0000799944;生产与运作管理.第5版;2;281
0000804439;计量经济学.第5版;3;282
0000804439;计量经济学.第5版;3;283
0000804439;计量经济学.第5版;3;284
0000635405;公司理财;2;285
0000635405;公司理财;2;286
0000501220;计量经济学.3版;2;287
0000501220;计量经济学.3版;2;288
0000379965;经济学原理:第4版,宏观经济学分册;5;289
0000379965;经济学原理:第4版,宏观经济学分册;5;290
0000379965;经济学原理:第4版,宏观经济学分册;5;291
0000379965;经济学原理:第4版,宏观经济学分册;5;292
0000379965;经济学原理:第4版,宏观经济学分册;5;293
0000736100;市场营销学:知识、技能与应用.第2版;2;294
0000736100;市场营销学:知识、技能与应用.第2版;2;295
0000774404;区域政策与产业空间分布;1;296
0000779232;新常态改变中国2.0:全球走势与中国机遇;2;297
0000779232;新常态改变中国2.0:全球走势与中国机遇;2;298
0000705398;有效的执行:成功领导战略实施与变革;1;299
0000737333;计量经济模型与统计软件应用.I;2;300
0000737333;计量经济模型与统计软件应用.I;2;301
0000805565;国富论导读;3;302
0000805565;国富论导读;3;303
0000805565;国富论导读;3;304
0000461650;绩效考核量化管理全案;1;305
0000705392;胜者不欺:成为事业与生活的双重赢家;1;306
0000732063;证券投资学.第4版;3;307
0000732063;证券投资学.第4版;3;308
0000732063;证券投资学.第4版;3;309
0000786751;一带一路与国际合作;1;310
0000809637;国际结算.第4版;2;311
0000809637;国际结算.第4版;2;312
0000703112;中国冷链物流发展报告.2010;1;313
0000805025;国际投资学教程.第4版;2;314
0000805025;国际投资学教程.第4版;2;315
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;316
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;317
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;318
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;319
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;320
0000683687;计量经济学.第4版;3;321
0000683687;计量经济学.第4版;3;322
0000683687;计量经济学.第4版;3;323
0000754377;国际投资学;3;324
0000754377;国际投资学;3;325
0000754377;国际投资学;3;326
0000799937;财务报表分析;2;327
0000799937;财务报表分析;2;328
0000736411;管理的实践:珍藏版;1;329
0000686010;中国农民专业合作社的政府规制研究;1;330
0000734608;资源与环境经济学学科前沿研究报告;1;331
0000790569;治理机制;1;332
0000825033;世界新趋势:“一带一路”重塑全球化新格局;2;333
0000825033;世界新趋势:“一带一路”重塑全球化新格局;2;334
0000796754;创业基础;1;335
0000803895;经济学概论;2;336
0000803895;经济学概论;2;337
0000516057;计量经济学中级教程;3;338
0000516057;计量经济学中级教程;3;339
0000516057;计量经济学中级教程;3;340
0000711469;旅游地理学.第3版;2;341
0000711469;旅游地理学.第3版;2;342
0000519588;国际商务;2;343
0000519588;国际商务;2;344
0000688656;计量经济学.第4版;2;345
0000688656;计量经济学.第4版;2;346
0000804440;成本与管理会计;2;347
0000804440;成本与管理会计;2;348
0000770203;产品型社群:互联网思维的本质;1;349
0000712233;明代海外贸易研究;1;350
0000788056;体制转轨与制度比较;1;351
0000501160;中级微观经济学;3;352
0000501160;中级微观经济学;3;353
0000501160;中级微观经济学;3;354
0000546816;计量经济学.第2版;1;355
0000812626;乌合之众?:大众非理性行为的经济学逻辑;3;356
0000812626;乌合之众?:大众非理性行为的经济学逻辑;3;357
0000812626;乌合之众?:大众非理性行为的经济学逻辑;3;358
0000798106;我国社会信用体系建设问题研究;1;359
0000468510;股票入门与技巧;2;360
0000468510;股票入门与技巧;2;361
0000266711;企业战略管理:理论与案例.2版;2;362
0000266711;企业战略管理:理论与案例.2版;2;363
0000660337;国富论.第2版;5;364
0000660337;国富论.第2版;5;365
0000660337;国富论.第2版;5;366
0000660337;国富论.第2版;5;367
0000660337;国富论.第2版;5;368
0000811566;国富论.上;3;369
0000811566;国富论.上;3;370
0000811566;国富论.上;3;371
0000771386;计量经济学.第5版;1;372
0000736065;就业、利息和货币通论;3;373
0000736065;就业、利息和货币通论;3;374
0000736065;就业、利息和货币通论;3;375
0000703226;国富论:精粹导读版.第2版;5;376
0000703226;国富论:精粹导读版.第2版;5;377
0000703226;国富论:精粹导读版.第2版;5;378
0000703226;国富论:精粹导读版.第2版;5;379
0000703226;国富论:精粹导读版.第2版;5;380
0000540294;计量经济学基础与STATA应用;2;381
0000540294;计量经济学基础与STATA应用;2;382
0000667898;经济思想史的趣味;3;383
0000667898;经济思想史的趣味;3;384
0000667898;经济思想史的趣味;3;385
0000789852;应用STATA学习计量经济学原理;1;386
0000788367;当代中国经济改革教程.第2版;2;387
0000788367;当代中国经济改革教程.第2版;2;388
0000633712;管理会计;2;389
0000633712;管理会计;2;390
0000553903;熊彼特选集:对十大经济学家的评析;2;391
0000553903;熊彼特选集:对十大经济学家的评析;2;392
0000553051;消费者行为学:英文版;1;393
0000815402;统计分析与R;3;394
0000815402;统计分析与R;3;395
0000815402;统计分析与R;3;396
0000777865;博弈心理学:人际交往中的心理博弈;3;397
0000777865;博弈心理学:人际交往中的心理博弈;3;398
0000777865;博弈心理学:人际交往中的心理博弈;3;399
0000720729;社会研究方法.第4版;3;400
0000720729;社会研究方法.第4版;3;401
0000720729;社会研究方法.第4版;3;402
0000782370;舆论引导论;2;403
0000782370;舆论引导论;2;404
0000777691;社会学主要思潮;2;405
0000777691;社会学主要思潮;2;406
0000713804;当代学术研究思辨.第3版;2;407
0000713804;当代学术研究思辨.第3版;2;408
0000775346;亲密关系;2;409
0000775346;亲密关系;2;410
0000751601;菊与刀;4;411
0000751601;菊与刀;4;412
0000751601;菊与刀;4;413
0000751601;菊与刀;4;414
0000513239;结构方程模型:AMOS的操作与应用;3;415
0000513239;结构方程模型:AMOS的操作与应用;3;416
0000513239;结构方程模型:AMOS的操作与应用;3;417
0000785557;高级Meta分析方法:基于Stata实现;1;418
0000438312;职业生涯规划;3;419
0000438312;职业生涯规划;3;420
0000438312;职业生涯规划;3;421
0000680681;FBI读心术全集;3;422
0000680681;FBI读心术全集;3;423
0000680681;FBI读心术全集;3;424
0000808234;管理学原理与实务.第3版;2;425
0000808234;管理学原理与实务.第3版;2;426
0000719239;乡土中国 生育制度 乡土重建;2;427
0000719239;乡土中国 生育制度 乡土重建;2;428
0000824535;亚当夏娃在拂晓;2;429
0000824535;亚当夏娃在拂晓;2;430
0000800488;社会统计学.第4版;2;431
0000800488;社会统计学.第4版;2;432
0000508948;结构方程模型原理及AMOS应用;3;433
0000508948;结构方程模型原理及AMOS应用;3;434
0000508948;结构方程模型原理及AMOS应用;3;435
0000683913;看性格选专业:适合性格的专业才是好专业;2;436
0000683913;看性格选专业:适合性格的专业才是好专业;2;437
0000192549;沈从文全集.第10卷,小说;2;438
0000192549;沈从文全集.第10卷,小说;2;439
0000774323;乡土中国;10;440
0000774323;乡土中国;10;441
0000774323;乡土中国;10;442
0000774323;乡土中国;10;443
0000774323;乡土中国;10;444
0000774323;乡土中国;10;445
0000774323;乡土中国;10;446
0000774323;乡土中国;10;447
0000774323;乡土中国;10;448
0000774323;乡土中国;10;449
0000639399;Stata统计分析与应用;3;450
0000639399;Stata统计分析与应用;3;451
0000639399;Stata统计分析与应用;3;452
0000637689;社会团体导论;1;453
0000800670;乡土中国 生育制度 乡土重建;4;454
0000800670;乡土中国 生育制度 乡土重建;4;455
0000800670;乡土中国 生育制度 乡土重建;4;456
0000800670;乡土中国 生育制度 乡土重建;4;457
0000754739;不知死, 焉知生:法医的故事;4;458
0000754739;不知死, 焉知生:法医的故事;4;459
0000754739;不知死, 焉知生:法医的故事;4;460
0000754739;不知死, 焉知生:法医的故事;4;461
0000740973;利维坦.一.英汉对照全译本;1;462
0000776905;迈入法学之门;1;463
0000808943;社会契约论;3;464
0000808943;社会契约论;3;465
0000808943;社会契约论;3;466
0000736883;法律文书写作;1;467
0000706738;清代贡物制度研究;1;468
0000791618;我观党史四集;3;469
0000791618;我观党史四集;3;470
0000791618;我观党史四集;3;471
0000634799;中国法律与中国社会;3;472
0000634799;中国法律与中国社会;3;473
0000634799;中国法律与中国社会;3;474
0000795141;社会主义核心价值观与中国梦;2;475
0000795141;社会主义核心价值观与中国梦;2;476
0000812803;竞争法.第3版;2;477
0000812803;竞争法.第3版;2;478
0000796740;民事诉讼法原理与案例教程;2;479
0000796740;民事诉讼法原理与案例教程;2;480
0000825681;法的经济解释:法律人的倚天屠龙;2;481
0000825681;法的经济解释:法律人的倚天屠龙;2;482
0000741721;技术转移与知识产权问题;2;483
0000741721;技术转移与知识产权问题;2;484
0000775647;“中国马克思主义与当代”若干问题研究;2;485
0000775647;“中国马克思主义与当代”若干问题研究;2;486
0000811103;君主论;3;487
0000811103;君主论;3;488
0000811103;君主论;3;489
0000786707;论自由;3;490
0000786707;论自由;3;491
0000786707;论自由;3;492
0000687992;洞穴奇案;3;493
0000687992;洞穴奇案;3;494
0000687992;洞穴奇案;3;495
0000752399;宪法学.第3版;3;496
0000752399;宪法学.第3版;3;497
0000752399;宪法学.第3版;3;498
0000739460;洗冤集录译注:详注·精译;3;499
0000739460;洗冤集录译注:详注·精译;3;500
0000739460;洗冤集录译注:详注·精译;3;501
0000509808;第二性;3;502
0000509808;第二性;3;503
0000509808;第二性;3;504
0000777005;西方法律思想史.第3版;3;505
0000777005;西方法律思想史.第3版;3;506
0000777005;西方法律思想史.第3版;3;507
0000661632;推开法律之门;3;508
0000661632;推开法律之门;3;509
0000661632;推开法律之门;3;510
0000804691;领航中国;1;511
0000755856;申论高分技巧手册:2015最新版;1;512
0000803883;中国知识产权发展报告.2015;1;513
0000795505;刑法各论前沿问题探索;1;514
0000560967;刑事政策与刑法体系;3;515
0000560967;刑事政策与刑法体系;3;516
0000560967;刑事政策与刑法体系;3;517
0000719551;现代化与英国社会转型;1;518
0000707219;张静如学术思想研究;1;519
0000778901;证据法精要;1;520
0000762332;中国梦, 什么梦?;3;521
0000762332;中国梦, 什么梦?;3;522
0000762332;中国梦, 什么梦?;3;523
0000178760;党史札记:龚育之近作;3;524
0000178760;党史札记:龚育之近作;3;525
0000178760;党史札记:龚育之近作;3;526
0000713591;著作权法;1;527
0000805389;当代世界政治经济与国际关系.第2版;2;528
0000805389;当代世界政治经济与国际关系.第2版;2;529
0000786051;外国法制史.第5版;2;530
0000786051;外国法制史.第5版;2;531
0000799411;中国外交.2016年版;1;532
0000800750;刑事诉讼法.第5版;2;533
0000800750;刑事诉讼法.第5版;2;534
0000786361;马克思主义和中国传统文化;2;535
0000786361;马克思主义和中国传统文化;2;536
0000696066;别笑! 这才是中国法律史;3;537
0000696066;别笑! 这才是中国法律史;3;538
0000696066;别笑! 这才是中国法律史;3;539
0000750840;竞争法.第2版;2;540
0000750840;竞争法.第2版;2;541
0000789553;中国法制史.第5版;3;542
0000789553;中国法制史.第5版;3;543
0000789553;中国法制史.第5版;3;544
0000747828;刑法的私塾;5;545
0000747828;刑法的私塾;5;546
0000747828;刑法的私塾;5;547
0000747828;刑法的私塾;5;548
0000747828;刑法的私塾;5;549
0000809188;中国宪法.第3版;2;550
0000809188;中国宪法.第3版;2;551
0000266644;刑法专论.下编;1;552
0000743298;百罪通论;4;553
0000743298;百罪通论;4;554
0000743298;百罪通论;4;555
0000743298;百罪通论;4;556
0000526875;行政程序法;2;557
0000526875;行政程序法;2;558
0000809589;中国近代法律史讲义;2;559
0000809589;中国近代法律史讲义;2;560
0000778954;宪法学.第3版;2;561
0000778954;宪法学.第3版;2;562
0000803236;和平与冲突研究;1;563
0000739465;中国与世界.第三辑;1;564
0000754575;祖宗之法:北宋前期政治述略.修订本;3;565
0000754575;祖宗之法:北宋前期政治述略.修订本;3;566
0000754575;祖宗之法:北宋前期政治述略.修订本;3;567
0000714429;中国与世界.第二辑;1;568
0000755010;数量关系模块宝典.第9版;1;569
0000752000;中国俸禄制度史.修订版;1;570
0000713738;知识产权论;1;571
0000773120;清代习惯法;1;572
0000727626;唐律疏议;1;573
0000803657;中共首次亮相国际政治舞台:档案资料集;1;574
0000814570;利益衡量论.第2版;1;575
0000630931;正当防卫制度研究的新视界;1;576
0000767627;法律方法阶梯.第3版;2;577
0000767627;法律方法阶梯.第3版;2;578
0000784580;菊与刀:经典全译本;4;579
0000784580;菊与刀:经典全译本;4;580
0000784580;菊与刀:经典全译本;4;581
0000784580;菊与刀:经典全译本;4;582
0000804856;欧洲难民危机专题研究报告;1;583
0000779227;刑法的价值构造.第2版;1;584
0000368089;政治学辞典;1;585
0000777077;民法的解释论与立法论;1;586
0000819300;菊与刀:日本文化诸模式.增订本;4;587
0000819300;菊与刀:日本文化诸模式.增订本;4;588
0000819300;菊与刀:日本文化诸模式.增订本;4;589
0000819300;菊与刀:日本文化诸模式.增订本;4;590
0000716828;行政职业能力测验;1;591
0000811422;向死而生:中国死刑制度改革的政治抉择;1;592
0000636490;中共创立掀起革命洪流:1921-1927;1;593
0000712122;近代中国的知识与制度转型;1;594
0000807658;国际关系史;3;595
0000807658;国际关系史;3;596
0000807658;国际关系史;3;597
0000751116;中国近代慈善事业研究;3;598
0000751116;中国近代慈善事业研究;3;599
0000751116;中国近代慈善事业研究;3;600
0000797296;女权主义的未来;1;601
0000755396;思想政治教育案例选析;2;602
0000755396;思想政治教育案例选析;2;603
0000634477;知识产权的魅力;1;604
0000542890;龚育之党史论集.上卷;2;605
0000542890;龚育之党史论集.上卷;2;606
0000800874;妇女与社会性别史研究的理论与方法;1;607
0000650122;中共党史专题研究;3;608
0000650122;中共党史专题研究;3;609
0000650122;中共党史专题研究;3;610
0000773472;民主的阴暗面:解释种族清洗;3;611
0000773472;民主的阴暗面:解释种族清洗;3;612
0000773472;民主的阴暗面:解释种族清洗;3;613
0000741066;政治学基础.第3版;3;614
0000741066;政治学基础.第3版;3;615
0000741066;政治学基础.第3版;3;616
0000782133;地方政府管理.第2版;2;617
0000782133;地方政府管理.第2版;2;618
0000763019;商法新论;2;619
0000763019;商法新论;2;620
0000749157;西方法律思想史.第3版;3;621
0000749157;西方法律思想史.第3版;3;622
0000749157;西方法律思想史.第3版;3;623
0000534956;法律方法讲义;3;624
0000534956;法律方法讲义;3;625
0000534956;法律方法讲义;3;626
0000795290;交通事故责任纠纷裁判精要与规则适用;1;627
0000774262;自由主义.第3版;3;628
0000774262;自由主义.第3版;3;629
0000774262;自由主义.第3版;3;630
0000776904;法学进阶之路;4;631
0000776904;法学进阶之路;4;632
0000776904;法学进阶之路;4;633
0000776904;法学进阶之路;4;634
0000789543;新中国慈善制度发展研究;1;635
0000766002;沉默的自由.修订版;1;636
0000784413;养老服务业发展与个案研究;1;637
0000689375;政治学;1;638
0000752020;谁是真凶:清代命案的政治法律分析;2;639
0000752020;谁是真凶:清代命案的政治法律分析;2;640
0000762365;财税法专题研究.第3版;2;641
0000762365;财税法专题研究.第3版;2;642
0000527108;政府论;3;643
0000527108;政府论;3;644
0000527108;政府论;3;645
0000790779;刑法学.第7版;3;646
0000790779;刑法学.第7版;3;647
0000790779;刑法学.第7版;3;648
0000719038;清末社会危机与政府应对;1;649
0000790782;刑事诉讼法.第6版;3;650
0000790782;刑事诉讼法.第6版;3;651
0000790782;刑事诉讼法.第6版;3;652
0000759878;新时期中国共产党执政风险问题研究;1;653
0000263351;中国政治思想史;1;654
0000790022;劳动法.第5版;2;655
0000790022;劳动法.第5版;2;656
0000486957;党史杞记末编;3;657
0000486957;党史杞记末编;3;658
0000486957;党史杞记末编;3;659
0000803543;专利法学说与案例研究.一;1;660
0000759145;博登海默法理学;2;661
0000759145;博登海默法理学;2;662
0000713378;中国近代妇女史;2;663
0000713378;中国近代妇女史;2;664
0000333736;现代政治学;1;665
0000778329;朝鲜通信使文献选编.第一册;1;666
0000815566;合同法研究.第一卷.第3版;1;667
0000748615;民法思维之展开:尹田民法学演讲集.第2版;2;668
0000748615;民法思维之展开:尹田民法学演讲集.第2版;2;669
0000821041;菊与刀;3;670
0000821041;菊与刀;3;671
0000821041;菊与刀;3;672
0000767415;诉讼法学研究.第19卷;1;673
0000264569;国际经济政治概论;1;674
0000806073;非诉讼程序(ADR)教程.第3版;2;675
0000806073;非诉讼程序(ADR)教程.第3版;2;676
0000680782;商事案例分析;3;677
0000680782;商事案例分析;3;678
0000680782;商事案例分析;3;679
0000801520;中国共产党思想通史.第1卷;1;680
0000804412;“一带一路”公共外交报告;1;681
0000686772;侵权责任法.第2版;1;682
0000713388;法理学;1;683
0000707348;岳村政治:转型期中国乡村政治结构的变迁;1;684
0000698926;中国古代法制史学史研究:以历代古籍为中心;1;685
0000787208;环境侵害国家赔偿责任研究;1;686
0000777044;民法基本范畴研究;1;687
0000739634;世界各国发展中的社会冲突;1;688
0000555597;唐宋中书舍人研究;1;689
0000800376;思想政治教育发展报告.2014/2015;2;690
