ISBN;Bname;Bnumber;BID;ZT
0000780930;乌合之众:大众心理研究;3;207;1
0000780930;乌合之众:大众心理研究;3;208;1
0000780930;乌合之众:大众心理研究;3;209;1
0000763004;非暴力沟通:珍藏版;3;210;1
0000763004;非暴力沟通:珍藏版;3;211;1
0000763004;非暴力沟通:珍藏版;3;212;1
0000556810;伊利亚特;2;213;1
0000556810;伊利亚特;2;214;1
0000631259;计量经济学;3;215;1
0000631259;计量经济学;3;216;1
0000631259;计量经济学;3;217;1
0000745897;国际金融学.第4版;3;218;1
0000745897;国际金融学.第4版;3;219;1
0000745897;国际金融学.第4版;3;220;1
0000761907;计量经济学基础.第4版;3;221;1
0000761907;计量经济学基础.第4版;3;222;1
0000761907;计量经济学基础.第4版;3;223;1
0000738482;中级微观经济学;3;224;1
0000738482;中级微观经济学;3;225;1
0000738482;中级微观经济学;3;226;1
0000746374;计量经济学.第3版;3;227;1
0000746374;计量经济学.第3版;3;228;1
0000746374;计量经济学.第3版;3;229;1
0000760999;基础会计.第4版;3;230;1
0000760999;基础会计.第4版;3;231;1
0000760999;基础会计.第4版;3;232;1
0000736072;区域经济学.第3版;3;233;1
0000736072;区域经济学.第3版;3;234;1
0000736072;区域经济学.第3版;3;235;1
0000805131;营销管理;3;236;1
0000805131;营销管理;3;237;1
0000805131;营销管理;3;238;1
0000806472;宏观经济学;4;239;1
0000806472;宏观经济学;4;240;1
0000806472;宏观经济学;4;241;1
0000806472;宏观经济学;4;242;1
0000799114;宏观经济学原理.第2版;4;243;1
0000799114;宏观经济学原理.第2版;4;244;1
0000799114;宏观经济学原理.第2版;4;245;1
0000799114;宏观经济学原理.第2版;4;246;1
0000751509;金融的解释;4;247;1
0000751509;金融的解释;4;248;1
0000751509;金融的解释;4;249;1
0000751509;金融的解释;4;250;1
0000742788;财务报表分析.第3版;4;251;1
0000742788;财务报表分析.第3版;4;252;1
0000742788;财务报表分析.第3版;4;253;1
0000742788;财务报表分析.第3版;4;254;1
0000746659;西方经济学,宏观部分.第6版;5;255;1
0000746659;西方经济学,宏观部分.第6版;5;256;1
0000746659;西方经济学,宏观部分.第6版;5;257;1
0000746659;西方经济学,宏观部分.第6版;5;258;1
0000746659;西方经济学,宏观部分.第6版;5;259;1
0000733917;经济学基础;5;260;1
0000733917;经济学基础;5;261;1
0000733917;经济学基础;5;262;1
0000733917;经济学基础;5;263;1
0000733917;经济学基础;5;264;1
0000809214;劳工政治;1;265;1
0000789211;众包;1;266;1
0000704684;尖峰时刻:华尔街顶级基金经理人的投资经验;1;267;1
0000765408;区域经济学.第3版;3;268;1
0000765408;区域经济学.第3版;3;269;1
0000765408;区域经济学.第3版;3;270;1
0000637472;曼昆版《宏观经济学》(第六版)学习手册;3;271;1
0000637472;曼昆版《宏观经济学》(第六版)学习手册;3;272;1
0000637472;曼昆版《宏观经济学》(第六版)学习手册;3;273;1
0000825034;西方世界的兴起;2;274;1
0000825034;西方世界的兴起;2;275;1
0000800377;经济数学,概率论与数理统计.第3版;2;276;1
0000800377;经济数学,概率论与数理统计.第3版;2;277;1
0000777947;碎片化时代:重新定义互联网+商业新常态;2;278;1
0000777947;碎片化时代:重新定义互联网+商业新常态;2;279;1
0000799944;生产与运作管理.第5版;2;280;1
0000799944;生产与运作管理.第5版;2;281;1
0000804439;计量经济学.第5版;3;282;1
0000804439;计量经济学.第5版;3;283;1
0000804439;计量经济学.第5版;3;284;1
0000635405;公司理财;2;285;1
0000635405;公司理财;2;286;1
0000501220;计量经济学.3版;2;287;1
0000501220;计量经济学.3版;2;288;1
0000379965;经济学原理:第4版,宏观经济学分册;5;289;1
0000379965;经济学原理:第4版,宏观经济学分册;5;290;1
0000379965;经济学原理:第4版,宏观经济学分册;5;291;1
0000379965;经济学原理:第4版,宏观经济学分册;5;292;1
0000379965;经济学原理:第4版,宏观经济学分册;5;293;1
0000736100;市场营销学:知识、技能与应用.第2版;2;294;1
0000736100;市场营销学:知识、技能与应用.第2版;2;295;1
0000774404;区域政策与产业空间分布;1;296;1
0000779232;新常态改变中国2.0:全球走势与中国机遇;2;297;1
0000779232;新常态改变中国2.0:全球走势与中国机遇;2;298;1
0000705398;有效的执行:成功领导战略实施与变革;1;299;1
0000737333;计量经济模型与统计软件应用.I;2;300;1
0000737333;计量经济模型与统计软件应用.I;2;301;1
0000805565;国富论导读;3;302;1
0000805565;国富论导读;3;303;1
0000805565;国富论导读;3;304;1
0000461650;绩效考核量化管理全案;1;305;1
0000705392;胜者不欺:成为事业与生活的双重赢家;1;306;1
0000732063;证券投资学.第4版;3;307;1
0000732063;证券投资学.第4版;3;308;1
0000732063;证券投资学.第4版;3;309;1
0000786751;一带一路与国际合作;1;310;1
0000809637;国际结算.第4版;2;311;1
0000809637;国际结算.第4版;2;312;1
0000703112;中国冷链物流发展报告.2010;1;313;1
0000805025;国际投资学教程.第4版;2;314;1
0000805025;国际投资学教程.第4版;2;315;1
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;316;1
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;317;1
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;318;1
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;319;1
0000685929;西方经济学,宏观部分:名师导读版.第5版;5;320;1
0000683687;计量经济学.第4版;3;321;1
0000683687;计量经济学.第4版;3;322;1
0000683687;计量经济学.第4版;3;323;1
0000754377;国际投资学;3;324;1
0000754377;国际投资学;3;325;1
0000754377;国际投资学;3;326;1
0000799937;财务报表分析;2;327;1
0000799937;财务报表分析;2;328;1
0000736411;管理的实践:珍藏版;1;329;1
0000686010;中国农民专业合作社的政府规制研究;1;330;1
0000734608;资源与环境经济学学科前沿研究报告;1;331;1
0000790569;治理机制;1;332;1
0000825033;世界新趋势:“一带一路”重塑全球化新格局;2;333;1
0000825033;世界新趋势:“一带一路”重塑全球化新格局;2;334;1
0000796754;创业基础;1;335;1
0000803895;经济学概论;2;336;1
0000803895;经济学概论;2;337;1
0000516057;计量经济学中级教程;3;338;1
0000516057;计量经济学中级教程;3;339;1
0000516057;计量经济学中级教程;3;340;1
0000711469;旅游地理学.第3版;2;341;1
0000711469;旅游地理学.第3版;2;342;1
0000519588;国际商务;2;343;1
0000519588;国际商务;2;344;1
0000688656;计量经济学.第4版;2;345;1
0000688656;计量经济学.第4版;2;346;1
0000804440;成本与管理会计;2;347;1
0000804440;成本与管理会计;2;348;1
0000770203;产品型社群:互联网思维的本质;1;349;1
0000712233;明代海外贸易研究;1;350;1
0000788056;体制转轨与制度比较;1;351;1
0000501160;中级微观经济学;3;352;1
0000501160;中级微观经济学;3;353;1
0000501160;中级微观经济学;3;354;1
0000546816;计量经济学.第2版;1;355;1
0000812626;乌合之众?:大众非理性行为的经济学逻辑;3;356;1
0000812626;乌合之众?:大众非理性行为的经济学逻辑;3;357;1
0000812626;乌合之众?:大众非理性行为的经济学逻辑;3;358;1
0000798106;我国社会信用体系建设问题研究;1;359;1
0000468510;股票入门与技巧;2;360;1
0000468510;股票入门与技巧;2;361;1
0000266711;企业战略管理:理论与案例.2版;2;362;1
0000266711;企业战略管理:理论与案例.2版;2;363;1
0000660337;国富论.第2版;5;364;1
0000660337;国富论.第2版;5;365;1
0000660337;国富论.第2版;5;366;1
0000660337;国富论.第2版;5;367;1
0000660337;国富论.第2版;5;368;1
0000811566;国富论.上;3;369;1
0000811566;国富论.上;3;370;1
0000811566;国富论.上;3;371;1
0000771386;计量经济学.第5版;1;372;1
0000736065;就业、利息和货币通论;3;373;1
0000736065;就业、利息和货币通论;3;374;1
0000736065;就业、利息和货币通论;3;375;1
0000703226;国富论:精粹导读版.第2版;5;376;1
0000703226;国富论:精粹导读版.第2版;5;377;1
0000703226;国富论:精粹导读版.第2版;5;378;1
0000703226;国富论:精粹导读版.第2版;5;379;1
0000703226;国富论:精粹导读版.第2版;5;380;1
0000540294;计量经济学基础与STATA应用;2;381;1
0000540294;计量经济学基础与STATA应用;2;382;1
0000667898;经济思想史的趣味;3;383;1
0000667898;经济思想史的趣味;3;384;1
0000667898;经济思想史的趣味;3;385;1
0000789852;应用STATA学习计量经济学原理;1;386;1
0000788367;当代中国经济改革教程.第2版;2;387;1
0000788367;当代中国经济改革教程.第2版;2;388;1
0000633712;管理会计;2;389;1
0000633712;管理会计;2;390;1
0000553903;熊彼特选集:对十大经济学家的评析;2;391;1
0000553903;熊彼特选集:对十大经济学家的评析;2;392;1
0000553051;消费者行为学:英文版;1;393;1
0000815402;统计分析与R;3;394;1
0000815402;统计分析与R;3;395;1
0000815402;统计分析与R;3;396;1
0000777865;博弈心理学:人际交往中的心理博弈;3;397;1
0000777865;博弈心理学:人际交往中的心理博弈;3;398;1
0000777865;博弈心理学:人际交往中的心理博弈;3;399;1
0000720729;社会研究方法.第4版;3;400;1
0000720729;社会研究方法.第4版;3;401;1
0000720729;社会研究方法.第4版;3;402;1
0000782370;舆论引导论;2;403;1
0000782370;舆论引导论;2;404;1
0000777691;社会学主要思潮;2;405;1
0000777691;社会学主要思潮;2;406;1
0000713804;当代学术研究思辨.第3版;2;407;1
0000713804;当代学术研究思辨.第3版;2;408;1
0000775346;亲密关系;2;409;1
0000775346;亲密关系;2;410;1
0000751601;菊与刀;4;411;1
0000751601;菊与刀;4;412;1
0000751601;菊与刀;4;413;1
0000751601;菊与刀;4;414;1
0000513239;结构方程模型:AMOS的操作与应用;3;415;1
0000513239;结构方程模型:AMOS的操作与应用;3;416;1
0000513239;结构方程模型:AMOS的操作与应用;3;417;1
0000785557;高级Meta分析方法:基于Stata实现;1;418;1
0000438312;职业生涯规划;3;419;1
0000438312;职业生涯规划;3;420;1
0000438312;职业生涯规划;3;421;1
0000680681;FBI读心术全集;3;422;1
0000680681;FBI读心术全集;3;423;1
0000680681;FBI读心术全集;3;424;1
0000808234;管理学原理与实务.第3版;2;425;1
0000808234;管理学原理与实务.第3版;2;426;1
0000719239;乡土中国 生育制度 乡土重建;2;427;1
0000719239;乡土中国 生育制度 乡土重建;2;428;1
0000824535;亚当夏娃在拂晓;2;429;1
0000824535;亚当夏娃在拂晓;2;430;1
0000800488;社会统计学.第4版;2;431;1
0000800488;社会统计学.第4版;2;432;1
0000508948;结构方程模型原理及AMOS应用;3;433;1
0000508948;结构方程模型原理及AMOS应用;3;434;1
0000508948;结构方程模型原理及AMOS应用;3;435;1
0000683913;看性格选专业:适合性格的专业才是好专业;2;436;1
0000683913;看性格选专业:适合性格的专业才是好专业;2;437;1
0000192549;沈从文全集.第10卷,小说;2;438;1
0000192549;沈从文全集.第10卷,小说;2;439;1
0000774323;乡土中国;10;440;1
0000774323;乡土中国;10;441;1
0000774323;乡土中国;10;442;1
0000774323;乡土中国;10;443;1
0000774323;乡土中国;10;444;1
0000774323;乡土中国;10;445;1
0000774323;乡土中国;10;446;1
0000774323;乡土中国;10;447;1
0000774323;乡土中国;10;448;1
0000774323;乡土中国;10;449;1
0000639399;Stata统计分析与应用;3;450;1
0000639399;Stata统计分析与应用;3;451;1
0000639399;Stata统计分析与应用;3;452;1
0000637689;社会团体导论;1;453;1
0000800670;乡土中国 生育制度 乡土重建;4;454;1
0000800670;乡土中国 生育制度 乡土重建;4;455;1
0000800670;乡土中国 生育制度 乡土重建;4;456;1
0000800670;乡土中国 生育制度 乡土重建;4;457;1
0000754739;不知死, 焉知生:法医的故事;4;458;1
0000754739;不知死, 焉知生:法医的故事;4;459;1
0000754739;不知死, 焉知生:法医的故事;4;460;1
0000754739;不知死, 焉知生:法医的故事;4;461;1
0000740973;利维坦.一.英汉对照全译本;1;462;1
0000776905;迈入法学之门;1;463;1
0000808943;社会契约论;3;464;1
0000808943;社会契约论;3;465;1
0000808943;社会契约论;3;466;1
0000736883;法律文书写作;1;467;1
0000706738;清代贡物制度研究;1;468;1
0000791618;我观党史四集;3;469;1
0000791618;我观党史四集;3;470;1
0000791618;我观党史四集;3;471;1
0000634799;中国法律与中国社会;3;472;1
0000634799;中国法律与中国社会;3;473;1
0000634799;中国法律与中国社会;3;474;1
0000795141;社会主义核心价值观与中国梦;2;475;1
0000795141;社会主义核心价值观与中国梦;2;476;1
0000812803;竞争法.第3版;2;477;1
0000812803;竞争法.第3版;2;478;1
0000796740;民事诉讼法原理与案例教程;2;479;1
0000796740;民事诉讼法原理与案例教程;2;480;1
0000825681;法的经济解释:法律人的倚天屠龙;2;481;1
0000825681;法的经济解释:法律人的倚天屠龙;2;482;1
0000741721;技术转移与知识产权问题;2;483;1
0000741721;技术转移与知识产权问题;2;484;1
0000775647;“中国马克思主义与当代”若干问题研究;2;485;1
0000775647;“中国马克思主义与当代”若干问题研究;2;486;1
0000811103;君主论;3;487;1
0000811103;君主论;3;488;1
0000811103;君主论;3;489;1
0000786707;论自由;3;490;1
0000786707;论自由;3;491;1
0000786707;论自由;3;492;1
0000687992;洞穴奇案;3;493;1
0000687992;洞穴奇案;3;494;1
0000687992;洞穴奇案;3;495;1
0000752399;宪法学.第3版;3;496;1
0000752399;宪法学.第3版;3;497;1
0000752399;宪法学.第3版;3;498;1
0000739460;洗冤集录译注:详注·精译;3;499;1
0000739460;洗冤集录译注:详注·精译;3;500;1
0000739460;洗冤集录译注:详注·精译;3;501;1
0000509808;第二性;3;502;1
0000509808;第二性;3;503;1
0000509808;第二性;3;504;1
0000777005;西方法律思想史.第3版;3;505;1
0000777005;西方法律思想史.第3版;3;506;1
0000777005;西方法律思想史.第3版;3;507;1
0000661632;推开法律之门;3;508;1
0000661632;推开法律之门;3;509;1
0000661632;推开法律之门;3;510;1
0000804691;领航中国;1;511;1
0000755856;申论高分技巧手册:2015最新版;1;512;1
0000803883;中国知识产权发展报告.2015;1;513;1
0000795505;刑法各论前沿问题探索;1;514;1
0000560967;刑事政策与刑法体系;3;515;1
0000560967;刑事政策与刑法体系;3;516;1
0000560967;刑事政策与刑法体系;3;517;1
0000719551;现代化与英国社会转型;1;518;1
0000707219;张静如学术思想研究;1;519;1
0000778901;证据法精要;1;520;1
0000762332;中国梦, 什么梦?;3;521;1
0000762332;中国梦, 什么梦?;3;522;1
0000762332;中国梦, 什么梦?;3;523;1
0000178760;党史札记:龚育之近作;3;524;1
0000178760;党史札记:龚育之近作;3;525;1
0000178760;党史札记:龚育之近作;3;526;1
0000713591;著作权法;1;527;1
0000805389;当代世界政治经济与国际关系.第2版;2;528;1
0000805389;当代世界政治经济与国际关系.第2版;2;529;1
0000786051;外国法制史.第5版;2;530;1
0000786051;外国法制史.第5版;2;531;1
0000799411;中国外交.2016年版;1;532;1
0000800750;刑事诉讼法.第5版;2;533;1
0000800750;刑事诉讼法.第5版;2;534;1
0000786361;马克思主义和中国传统文化;2;535;1
0000786361;马克思主义和中国传统文化;2;536;1
0000696066;别笑! 这才是中国法律史;3;537;1
0000696066;别笑! 这才是中国法律史;3;538;1
0000696066;别笑! 这才是中国法律史;3;539;1
0000750840;竞争法.第2版;2;540;1
0000750840;竞争法.第2版;2;541;1
0000789553;中国法制史.第5版;3;542;1
0000789553;中国法制史.第5版;3;543;1
0000789553;中国法制史.第5版;3;544;1
0000747828;刑法的私塾;5;545;1
0000747828;刑法的私塾;5;546;1
0000747828;刑法的私塾;5;547;1
0000747828;刑法的私塾;5;548;1
0000747828;刑法的私塾;5;549;1
0000809188;中国宪法.第3版;2;550;1
0000809188;中国宪法.第3版;2;551;1
0000266644;刑法专论.下编;1;552;1
0000743298;百罪通论;4;553;1
0000743298;百罪通论;4;554;1
0000743298;百罪通论;4;555;1
0000743298;百罪通论;4;556;1
0000526875;行政程序法;2;557;1
0000526875;行政程序法;2;558;1
0000809589;中国近代法律史讲义;2;559;1
0000809589;中国近代法律史讲义;2;560;1
0000778954;宪法学.第3版;2;561;1
0000778954;宪法学.第3版;2;562;1
0000803236;和平与冲突研究;1;563;1
0000739465;中国与世界.第三辑;1;564;1
0000754575;祖宗之法:北宋前期政治述略.修订本;3;565;1
0000754575;祖宗之法:北宋前期政治述略.修订本;3;566;1
0000754575;祖宗之法:北宋前期政治述略.修订本;3;567;1
0000714429;中国与世界.第二辑;1;568;1
0000755010;数量关系模块宝典.第9版;1;569;1
0000752000;中国俸禄制度史.修订版;1;570;1
0000713738;知识产权论;1;571;1
0000773120;清代习惯法;1;572;1
0000727626;唐律疏议;1;573;1
0000803657;中共首次亮相国际政治舞台:档案资料集;1;574;1
0000814570;利益衡量论.第2版;1;575;1
0000630931;正当防卫制度研究的新视界;1;576;1
0000767627;法律方法阶梯.第3版;2;577;1
0000767627;法律方法阶梯.第3版;2;578;1
0000784580;菊与刀:经典全译本;4;579;1
0000784580;菊与刀:经典全译本;4;580;1
0000784580;菊与刀:经典全译本;4;581;1
0000784580;菊与刀:经典全译本;4;582;1
0000804856;欧洲难民危机专题研究报告;1;583;1
0000779227;刑法的价值构造.第2版;1;584;1
0000368089;政治学辞典;1;585;1
0000777077;民法的解释论与立法论;1;586;1
0000819300;菊与刀:日本文化诸模式.增订本;4;587;1
0000819300;菊与刀:日本文化诸模式.增订本;4;588;1
0000819300;菊与刀:日本文化诸模式.增订本;4;589;1
0000819300;菊与刀:日本文化诸模式.增订本;4;590;1
0000716828;行政职业能力测验;1;591;1
0000811422;向死而生:中国死刑制度改革的政治抉择;1;592;1
0000636490;中共创立掀起革命洪流:1921-1927;1;593;1
0000712122;近代中国的知识与制度转型;1;594;1
0000807658;国际关系史;3;595;1
0000807658;国际关系史;3;596;1
0000807658;国际关系史;3;597;1
0000751116;中国近代慈善事业研究;3;598;1
0000751116;中国近代慈善事业研究;3;599;1
0000751116;中国近代慈善事业研究;3;600;1
0000797296;女权主义的未来;1;601;1
0000755396;思想政治教育案例选析;2;602;1
0000755396;思想政治教育案例选析;2;603;1
0000634477;知识产权的魅力;1;604;1
0000542890;龚育之党史论集.上卷;2;605;1
0000542890;龚育之党史论集.上卷;2;606;1
0000800874;妇女与社会性别史研究的理论与方法;1;607;1
0000650122;中共党史专题研究;3;608;1
0000650122;中共党史专题研究;3;609;1
0000650122;中共党史专题研究;3;610;1
0000773472;民主的阴暗面:解释种族清洗;3;611;1
0000773472;民主的阴暗面:解释种族清洗;3;612;1
0000773472;民主的阴暗面:解释种族清洗;3;613;1
0000741066;政治学基础.第3版;3;614;1
0000741066;政治学基础.第3版;3;615;1
0000741066;政治学基础.第3版;3;616;1
0000782133;地方政府管理.第2版;2;617;1
0000782133;地方政府管理.第2版;2;618;1
0000763019;商法新论;2;619;1
0000763019;商法新论;2;620;1
0000749157;西方法律思想史.第3版;3;621;1
0000749157;西方法律思想史.第3版;3;622;1
0000749157;西方法律思想史.第3版;3;623;1
0000534956;法律方法讲义;3;624;1
0000534956;法律方法讲义;3;625;1
0000534956;法律方法讲义;3;626;1
0000795290;交通事故责任纠纷裁判精要与规则适用;1;627;1
0000774262;自由主义.第3版;3;628;1
